Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
Feb,Marketing,15152,12219,-2933,Starbucks,coffee,2023-10-05,Food & Dining
Dec,Finance,11151,13082,1931,McDonald's,coffee purchase,2029-05-06,Food & Dining
Jan,Sales,15027,12312,-2715,Amazon,online_shopping,2023-11-03,Shopping
Nov,Sales,18580,19925,1345,McDonald's,coffee purchase,2023-12-21,Food & Dining
Apr,IT,6311,5716,-595,Amazon,online shopping,2024-10-16,Shopping
Sep,Finance,14512,14410,-102,Netflix,movie,2024-03-27,Entertainment
Jun,Marketing,8939,9408,469,Flipkart,online shopping,2023-07-13,Shopping
Apr,HR,15510,16038,528,Amazon,online_shopping,2028-10-12,Shopping
Oct,HR,6880,6643,-237,Netflix,movie subscription,2029-03-31,Entertainment
Nov,Finance,9674,10333,659,Flipkart,movie subscription,2024-06-03,Entertainment
Feb,HR,6311,6695,384,Uber,ride to work,2023-09-09,Transportation
Sep,IT,19047,21521,2474,Amazon,movie subscription,2028-06-11,Entertainment
May,Finance,10275,12342,2067,Flipkart,online shopping,2025-10-31,Shopping
Jun,HR,13094,12768,-326,Apple Store,app purchase,2026-05-01,Digital Services
Mar,HR,5357,6075,718,Flipkart,online shopping,2027-04-14,Shopping
Nov,HR,5983,7844,1861,Amazon,online shopping,2024-06-09,Shopping
Dec,IT,13967,16509,2542,McDonald's,coffee purchase,2025-11-15,Food & Dining
Jul,Operations,16701,15781,-920,Apple Store,online shopping,2029-02-02,Shopping
Oct,Marketing,5281,3141,-2140,Apple Store,app purchase,2027-05-03,Digital Services
Nov,Sales,16520,14696,-1824,Starbucks,food,2026-02-01,Food & Dining
May,Finance,7856,7223,-633,Shell,petrol,2024-02-07,Fuel
May,Sales,19544,22424,2880,Flipkart,movie subscription,2025-01-16,Entertainment
Jun,Sales,13430,13409,-21,Shell,petrol,2029-03-09,Fuel
Dec,Finance,16828,17930,1102,Amazon,online_shopping,2027-07-08,Shopping
Aug,Operations,10168,12307,2139,Apple Store,online shopping,2027-04-28,Shopping
Feb,HR,8592,6312,-2280,Starbucks,coffee,2028-11-07,Food & Dining
Mar,Finance,10774,9309,-1465,Apple Store,online shopping,2023-10-21,Shopping
Jun,IT,10977,7993,-2984,Starbucks,drinks,2025-05-07,Food & Dining
May,Finance,15643,12679,-2964,Apple Store,online shopping,2025-05-16,Shopping
Dec,Sales,19810,19919,109,Amazon,movie subscription,2029-10-23,Entertainment
Oct,Finance,6669,8550,1881,Flipkart,online_shopping,2027-02-08,Shopping
Feb,Operations,9608,9457,-151,Flipkart,movie subscription,2023-01-13,Entertainment
Dec,IT,17341,16626,-715,Amazon,online shopping,2026-07-28,Shopping
Sep,Operations,11163,13197,2034,Netflix,entertainment,2024-09-28,Entertainment
Jun,Marketing,8393,6595,-1798,Flipkart,online shopping,2023-10-31,Shopping
Jun,IT,16880,14428,-2452,Starbucks,coffee,2027-02-24,Food & Dining
Dec,Operations,10411,11036,625,Starbucks,coffee,2026-09-01,Food & Dining
Jun,IT,14421,16277,1856,Apple Store,online shopping,2026-07-18,Shopping
Oct,Sales,17631,16956,-675,McDonald's,coffee purchase,2028-03-17,Food & Dining
Jun,HR,8181,6474,-1707,McDonald's,food,2024-06-24,Food & Dining
Feb,Operations,13521,13510,-11,Amazon,online shopping,2025-07-01,Shopping
Nov,HR,12862,13496,634,Netflix,entertainment,2029-02-24,Entertainment
Jun,Finance,16138,13993,-2145,Flipkart,online shopping,2023-03-15,Shopping
Dec,IT,13913,14052,139,Flipkart,online_shopping,2023-12-13,Shopping
Oct,Sales,11261,13391,2130,Netflix,movie subscription,2023-07-28,Entertainment
Oct,Finance,9678,12225,2547,Netflix,movie subscription,2027-09-26,Entertainment
Apr,Marketing,8344,7325,-1019,Flipkart,online shopping,2023-11-13,Shopping
Jun,IT,8311,11055,2744,Amazon,movie subscription,2024-11-15,Entertainment
Sep,Marketing,16900,18899,1999,Uber,travel,2024-05-13,Transportation
Mar,IT,19721,20227,506,Netflix,monthly subscription,2023-08-18,Subscription
Aug,HR,10668,8591,-2077,Apple Store,online shopping,2027-11-06,Shopping
Apr,Marketing,11197,10867,-330,Amazon,online_shopping,2027-06-18,Shopping
Jul,IT,7315,5447,-1868,Netflix,monthly subscription,2026-03-13,Subscription
Nov,HR,5348,6038,690,McDonald's,drinks,2028-07-15,Food & Dining
Jun,Finance,5371,6049,678,Flipkart,movie subscription,2025-12-26,Entertainment
Mar,HR,6445,5805,-640,McDonald's,drinks,2029-06-23,Food & Dining
Feb,Sales,15748,17325,1577,Flipkart,online shopping,2029-04-24,Shopping
Jun,Operations,15276,18007,2731,Flipkart,movie subscription,2024-09-17,Entertainment
Apr,IT,17249,18880,1631,Shell,petrol,2024-05-09,Fuel
Aug,HR,18366,18654,288,Uber,travel,2028-10-16,Transportation
Jun,Operations,16826,17734,908,Apple Store,online shopping,2027-11-29,Shopping
Oct,Operations,16255,18573,2318,Uber,ride,2029-08-01,Transportation
Dec,Sales,9508,11814,2306,Flipkart,movie subscription,2023-09-15,Entertainment
Jun,Operations,11118,9928,-1190,Shell,diesel,2028-06-05,Fuel
Jun,Operations,6491,8923,2432,Amazon,movie subscription,2027-01-08,Entertainment
Jul,Marketing,19185,18897,-288,Apple Store,app purchase,2024-02-19,Digital Services
Dec,Operations,6644,7495,851,Netflix,entertainment,2024-05-29,Entertainment
Sep,IT,14598,16353,1755,Apple Store,app purchase,2027-12-11,Digital Services
Mar,IT,15064,14272,-792,Amazon,online_shopping,2025-12-19,Shopping
Aug,Marketing,7222,6792,-430,Flipkart,movie subscription,2026-01-20,Entertainment
Sep,Finance,11696,12445,749,Amazon,online shopping,2027-01-30,Shopping
Mar,Sales,16307,18023,1716,Uber,travel,2024-11-10,Transportation
Jun,IT,14057,14967,910,Flipkart,online_shopping,2025-03-07,Shopping
Jul,Operations,6023,4215,-1808,Flipkart,online shopping,2023-09-26,Shopping
May,HR,11424,9516,-1908,Starbucks,coffee,2025-08-15,Food & Dining
Sep,HR,9207,11447,2240,McDonald's,coffee purchase,2024-05-14,Food & Dining
Sep,Sales,8760,11602,2842,Flipkart,online_shopping,2025-06-01,Shopping
Jul,Operations,6166,4850,-1316,Flipkart,online shopping,2029-02-22,Shopping
Mar,Operations,6922,7429,507,Amazon,online_shopping,2028-08-10,Shopping
Jun,HR,5226,3376,-1850,Starbucks,food,2026-01-28,Food & Dining
Nov,IT,18825,19300,475,McDonald's,coffee purchase,2029-02-01,Food & Dining
Jan,HR,5649,4261,-1388,Amazon,online_shopping,2029-07-23,Shopping
Apr,Finance,9980,8216,-1764,Shell,fuel purchase,2024-09-24,Fuel
Aug,Finance,13312,12655,-657,Starbucks,drinks,2025-10-21,Food & Dining
Apr,IT,10241,10055,-186,Flipkart,online shopping,2027-02-18,Shopping
Aug,IT,10760,7766,-2994,McDonald's,drinks,2029-01-02,Food & Dining
Dec,IT,16530,19118,2588,Netflix,entertainment,2029-07-03,Entertainment
Aug,HR,6523,7788,1265,Shell,petrol,2026-08-19,Fuel
Dec,Marketing,14063,15797,1734,Flipkart,online shopping,2025-09-22,Shopping
Apr,IT,12275,12828,553,Flipkart,online_shopping,2023-10-14,Shopping
Jan,Operations,8210,5460,-2750,McDonald's,drinks,2028-07-15,Food & Dining
Mar,Sales,7473,7487,14,Starbucks,food,2025-12-09,Food & Dining
Apr,Sales,18978,21033,2055,McDonald's,food,2024-04-09,Food & Dining
Mar,Finance,16012,18735,2723,Netflix,movie subscription,2024-09-05,Entertainment
Apr,IT,18728,17545,-1183,Uber,travel,2024-06-21,Transportation
Jun,Operations,6347,5825,-522,Netflix,monthly subscription,2025-07-18,Subscription
Oct,Marketing,16423,16326,-97,Netflix,entertainment,2023-12-29,Entertainment
Dec,IT,19910,22535,2625,Flipkart,online shopping,2025-02-25,Shopping
Jun,Operations,8588,5624,-2964,Flipkart,online_shopping,2023-01-25,Shopping
Jun,Marketing,15547,14552,-995,Flipkart,movie subscription,2027-09-17,Entertainment
Sep,IT,16705,14424,-2281,Uber,travel,2027-11-28,Transportation
Mar,Marketing,10089,7624,-2465,Shell,petrol,2024-06-18,Fuel
Dec,Operations,6797,8592,1795,Uber,ride to work,2026-11-19,Transportation
Jul,Sales,14107,16738,2631,Starbucks,food,2025-03-14,Food & Dining
Jul,Finance,15383,13183,-2200,Shell,fuel purchase,2024-08-04,Fuel
Apr,Finance,17841,19927,2086,Shell,fuel purchase,2023-06-15,Fuel
Mar,IT,13723,11183,-2540,Uber,travel,2024-12-10,Transportation
Apr,HR,9806,12785,2979,Flipkart,online_shopping,2024-06-14,Shopping
Apr,IT,8378,7367,-1011,Shell,petrol,2024-06-27,Fuel
May,Operations,6625,9279,2654,McDonald's,drinks,2026-11-03,Food & Dining
Nov,Marketing,12444,11267,-1177,Amazon,online shopping,2027-11-26,Shopping
Mar,Marketing,9852,12422,2570,Uber,ride to work,2029-06-23,Transportation
Aug,Operations,8446,9979,1533,Flipkart,online shopping,2028-07-11,Shopping
Dec,Marketing,5217,4909,-308,Flipkart,online shopping,2027-08-06,Shopping
Sep,Sales,13807,14099,292,McDonald's,drinks,2026-12-05,Food & Dining
Aug,IT,10700,13012,2312,McDonald's,food,2027-06-04,Food & Dining
Feb,Sales,18138,15518,-2620,Flipkart,movie subscription,2027-09-02,Entertainment
May,HR,11155,8457,-2698,Uber,travel,2025-12-24,Transportation
Jun,HR,11822,11115,-707,Shell,diesel,2028-07-26,Fuel
Mar,Operations,12888,14371,1483,Apple Store,app purchase,2024-05-10,Digital Services
Jun,Sales,18346,17942,-404,Shell,petrol,2023-05-05,Fuel
Aug,Finance,15091,14057,-1034,Flipkart,online_shopping,2026-05-19,Shopping
Oct,Sales,6396,4570,-1826,Amazon,online_shopping,2023-04-27,Shopping
Aug,IT,17355,19114,1759,Apple Store,online shopping,2024-11-17,Shopping
Jul,Marketing,12745,13360,615,Netflix,movie,2023-10-26,Entertainment
Dec,Sales,14689,14933,244,Apple Store,app purchase,2026-02-05,Digital Services
Sep,Finance,19792,20724,932,Apple Store,online shopping,2027-02-12,Shopping
Feb,Finance,12868,11548,-1320,Flipkart,online shopping,2027-01-17,Shopping
Jun,Marketing,18703,17849,-854,Netflix,monthly subscription,2024-08-14,Subscription
Dec,Sales,10501,11430,929,Amazon,movie subscription,2023-02-23,Entertainment
Nov,Finance,10803,12376,1573,Amazon,movie subscription,2023-02-14,Entertainment
May,IT,12445,11856,-589,Uber,ride,2028-05-12,Transportation
Apr,IT,9420,7965,-1455,Shell,fuel purchase,2026-12-10,Fuel
Oct,IT,17864,15306,-2558,Starbucks,food,2023-01-12,Food & Dining
Jul,IT,7312,9495,2183,Shell,diesel,2026-02-28,Fuel
Jun,Sales,5436,4637,-799,McDonald's,meal,2023-11-24,Food & Dining
Sep,IT,17996,19038,1042,McDonald's,food,2029-08-14,Food & Dining
Apr,Operations,8525,9482,957,Shell,diesel,2023-04-03,Fuel
Sep,Marketing,11768,9895,-1873,Starbucks,coffee,2026-08-26,Food & Dining
Jun,Marketing,19084,19748,664,McDonald's,meal,2026-08-11,Food & Dining
Aug,Marketing,10780,10949,169,Flipkart,online_shopping,2025-04-23,Shopping
Aug,Finance,17599,17400,-199,Netflix,movie subscription,2023-02-10,Entertainment
Apr,IT,15372,15041,-331,Netflix,monthly subscription,2026-03-20,Subscription
Apr,HR,11476,12494,1018,Flipkart,movie subscription,2028-09-05,Entertainment
Aug,Marketing,9796,7902,-1894,McDonald's,food,2025-11-03,Food & Dining
Apr,HR,14028,13104,-924,Flipkart,movie subscription,2025-01-22,Entertainment
Dec,Operations,15064,15781,717,Netflix,movie subscription,2025-03-03,Entertainment
Mar,Operations,14732,13539,-1193,Netflix,movie subscription,2025-05-14,Entertainment
Jan,Finance,15742,16558,816,Netflix,movie,2023-07-19,Entertainment
Apr,IT,11780,9063,-2717,Shell,petrol,2028-04-20,Fuel
Apr,Marketing,7568,7908,340,Apple Store,online shopping,2026-05-19,Shopping
Jan,IT,13760,11198,-2562,Shell,diesel,2023-04-28,Fuel
Nov,IT,8167,10148,1981,Uber,travel,2025-01-16,Transportation
Jul,Finance,15840,16301,461,Netflix,entertainment,2029-09-25,Entertainment
Dec,Finance,18673,17507,-1166,Amazon,online_shopping,2026-05-18,Shopping
Jan,Operations,16382,19135,2753,Shell,petrol,2027-05-22,Fuel
Oct,HR,6145,5420,-725,Amazon,online_shopping,2029-03-26,Shopping
Jan,Finance,16313,19176,2863,Amazon,online_shopping,2028-10-08,Shopping
Aug,Marketing,17950,16311,-1639,Flipkart,movie subscription,2029-06-02,Entertainment
Jul,Finance,9752,10066,314,Starbucks,food,2023-09-14,Food & Dining
Oct,Finance,5204,6036,832,Uber,ride to work,2024-07-14,Transportation
Sep,Sales,12929,15096,2167,Starbucks,food,2028-08-25,Food & Dining
Jun,Sales,9614,11850,2236,Netflix,movie,2023-12-13,Entertainment
Sep,Finance,9121,8089,-1032,Apple Store,online shopping,2029-10-19,Shopping
Jan,Marketing,17858,17061,-797,Netflix,movie subscription,2028-11-23,Entertainment
Apr,HR,13632,16528,2896,Amazon,online_shopping,2027-12-16,Shopping
Nov,HR,8103,8886,783,Uber,travel,2024-07-19,Transportation
Aug,Sales,17963,16116,-1847,McDonald's,food,2023-08-09,Food & Dining
Aug,Operations,10304,8512,-1792,Netflix,entertainment,2027-12-16,Entertainment
Jul,HR,9189,7902,-1287,Shell,fuel purchase,2028-07-23,Fuel
Jan,IT,18170,20225,2055,Starbucks,drinks,2028-08-02,Food & Dining
Jun,Operations,19361,16655,-2706,Uber,travel,2026-09-05,Transportation
Oct,Finance,17829,17617,-212,Netflix,movie,2023-01-13,Entertainment
Jul,Marketing,8805,6832,-1973,Netflix,movie subscription,2027-09-17,Entertainment
Jan,Finance,11920,10770,-1150,Netflix,entertainment,2023-05-12,Entertainment
May,IT,14467,16805,2338,Apple Store,app purchase,2029-01-17,Digital Services
Oct,HR,16745,15807,-938,Apple Store,online shopping,2023-04-18,Shopping
Apr,Marketing,8857,7962,-895,Starbucks,food,2023-05-01,Food & Dining
Feb,HR,9079,9945,866,Shell,diesel,2025-01-30,Fuel
Feb,HR,5662,5122,-540,Uber,ride to work,2024-10-21,Transportation
Oct,HR,14297,11678,-2619,Shell,fuel purchase,2027-09-16,Fuel
Sep,Finance,9485,8228,-1257,Netflix,monthly subscription,2028-06-02,Subscription
Feb,IT,13870,14416,546,Flipkart,movie subscription,2025-08-06,Entertainment
May,Operations,19160,19357,197,Netflix,movie subscription,2027-10-13,Entertainment
Mar,HR,15253,17865,2612,Uber,ride to work,2029-05-01,Transportation
Nov,Operations,11470,9960,-1510,Starbucks,coffee,2026-12-29,Food & Dining
Jun,Sales,15004,13619,-1385,Amazon,online_shopping,2023-10-27,Shopping
Jun,IT,15992,18429,2437,Uber,travel,2025-03-09,Transportation
Dec,Sales,13854,14328,474,Starbucks,food,2024-01-06,Food & Dining
Oct,Sales,16331,16572,241,Apple Store,app purchase,2026-12-31,Digital Services
Feb,Marketing,8165,9089,924,Netflix,movie subscription,2028-10-26,Entertainment
Jan,Sales,5123,6337,1214,Apple Store,online shopping,2029-02-16,Shopping
Jan,Operations,9571,11372,1801,Amazon,online shopping,2027-05-12,Shopping
Feb,Sales,16172,14587,-1585,Netflix,movie subscription,2027-07-29,Entertainment
Dec,HR,15173,17971,2798,Apple Store,online shopping,2026-07-28,Shopping
Feb,Marketing,12817,10532,-2285,Starbucks,food,2024-08-24,Food & Dining
Jun,HR,11974,9735,-2239,McDonald's,drinks,2026-04-09,Food & Dining
May,Marketing,16533,14096,-2437,Flipkart,movie subscription,2026-05-10,Entertainment
Oct,Sales,8093,9304,1211,Shell,diesel,2024-12-02,Fuel
Sep,Operations,19102,20285,1183,McDonald's,drinks,2028-04-15,Food & Dining
Nov,Finance,5853,5433,-420,Apple Store,app purchase,2026-04-21,Digital Services
Jun,Finance,6991,7414,423,Shell,petrol,2023-08-18,Fuel
Dec,IT,15882,13367,-2515,Amazon,online_shopping,2028-03-30,Shopping
Feb,Marketing,18836,16397,-2439,Uber,ride to work,2027-11-14,Transportation
Jul,Operations,10219,11316,1097,Flipkart,movie subscription,2025-06-01,Entertainment
Nov,Marketing,10557,9680,-877,Starbucks,coffee,2028-09-19,Food & Dining
Aug,Marketing,14466,16274,1808,Apple Store,app purchase,2024-08-28,Digital Services
Oct,Sales,6179,8341,2162,Uber,ride to work,2027-06-06,Transportation
Aug,Operations,6203,4014,-2189,Shell,petrol,2028-11-09,Fuel
Jun,Sales,13738,11420,-2318,Starbucks,drinks,2027-10-04,Food & Dining
May,HR,13607,11067,-2540,Flipkart,online shopping,2023-07-07,Shopping
May,Sales,13905,13752,-153,Starbucks,food,2026-05-21,Food & Dining
Aug,Marketing,9763,8341,-1422,Amazon,online shopping,2024-06-15,Shopping
Jun,IT,12019,11663,-356,Uber,ride to work,2027-08-04,Transportation
Mar,Sales,10311,10481,170,McDonald's,meal,2026-03-16,Food & Dining
Aug,Marketing,5900,4350,-1550,Apple Store,online shopping,2025-08-20,Shopping
May,Finance,18250,19678,1428,Starbucks,drinks,2026-05-04,Food & Dining
Aug,Finance,15158,14425,-733,Uber,ride to work,2025-05-01,Transportation
Apr,Operations,17599,18697,1098,Amazon,movie subscription,2028-07-27,Entertainment
Sep,Operations,15987,15109,-878,McDonald's,meal,2028-03-19,Food & Dining
Jan,IT,13399,14645,1246,Netflix,movie,2026-07-08,Entertainment
Nov,HR,11513,11702,189,Apple Store,online shopping,2025-02-22,Shopping
Apr,IT,13525,13114,-411,McDonald's,food,2029-06-18,Food & Dining
Feb,Finance,8978,9673,695,Uber,ride to work,2027-11-07,Transportation
Oct,Marketing,18407,19803,1396,Uber,ride to work,2027-06-27,Transportation
Aug,Marketing,9107,8784,-323,McDonald's,coffee purchase,2028-10-20,Food & Dining
May,Finance,7064,5183,-1881,Amazon,online shopping,2023-09-22,Shopping
Mar,Operations,12259,15191,2932,Shell,diesel,2023-11-22,Fuel
Aug,Sales,9373,12218,2845,Apple Store,online shopping,2029-04-10,Shopping
Nov,Sales,12281,9991,-2290,Flipkart,movie subscription,2025-08-21,Entertainment
Aug,Operations,12682,13350,668,Uber,travel,2026-02-05,Transportation
Sep,HR,15583,16141,558,Apple Store,app purchase,2027-04-01,Digital Services
Feb,Sales,14005,15463,1458,Starbucks,food,2024-05-22,Food & Dining
Apr,IT,11987,11146,-841,Amazon,online_shopping,2025-09-27,Shopping
Aug,Finance,13488,15620,2132,Netflix,movie subscription,2023-06-21,Entertainment
Mar,Operations,18961,19464,503,Amazon,online shopping,2025-11-23,Shopping
Sep,IT,9118,9398,280,Flipkart,movie subscription,2027-09-12,Entertainment
May,Finance,19237,20018,781,Shell,diesel,2029-07-06,Fuel
Feb,Sales,16484,18038,1554,Apple Store,app purchase,2026-12-14,Digital Services
Mar,Operations,13504,16026,2522,Flipkart,online shopping,2023-09-13,Shopping
Jun,Marketing,5341,3451,-1890,Apple Store,app purchase,2026-02-26,Digital Services
Dec,Marketing,15310,14180,-1130,McDonald's,food,2023-09-25,Food & Dining
May,Finance,18150,18150,0,McDonald's,coffee purchase,2023-10-03,Food & Dining
Oct,IT,11830,13519,1689,Uber,ride,2023-02-11,Transportation
Oct,Marketing,10387,12905,2518,Netflix,movie subscription,2026-02-26,Entertainment
Mar,IT,16469,15230,-1239,Shell,fuel purchase,2024-10-28,Fuel
Jun,HR,7456,4992,-2464,Apple Store,online shopping,2026-04-05,Shopping
Jun,HR,6382,9128,2746,Shell,petrol,2026-08-20,Fuel
May,Finance,6673,4823,-1850,Starbucks,coffee,2025-05-29,Food & Dining
Mar,Operations,12887,14451,1564,Uber,ride,2023-10-23,Transportation
Jul,Finance,11839,9560,-2279,Shell,petrol,2026-10-07,Fuel
Sep,Finance,9636,11045,1409,Apple Store,app purchase,2025-06-05,Digital Services
Sep,IT,13199,12736,-463,Shell,petrol,2024-06-14,Fuel
Apr,IT,14164,16642,2478,Netflix,entertainment,2025-09-19,Entertainment
Apr,IT,12879,11916,-963,McDonald's,drinks,2025-12-13,Food & Dining
Nov,Sales,11563,13125,1562,Apple Store,online shopping,2025-04-14,Shopping
Dec,Sales,6902,4041,-2861,Apple Store,online shopping,2026-01-08,Shopping
Nov,Sales,19456,22380,2924,Shell,fuel purchase,2025-07-13,Fuel
Sep,IT,12540,15125,2585,Uber,ride to work,2023-05-03,Transportation
Jun,Finance,10657,12498,1841,Amazon,online_shopping,2025-08-14,Shopping
Jan,Marketing,9049,10008,959,Uber,travel,2029-05-09,Transportation
Mar,Finance,12859,10449,-2410,Apple Store,app purchase,2024-04-29,Digital Services
Mar,HR,18680,20475,1795,Uber,travel,2024-04-18,Transportation
May,Marketing,12306,9873,-2433,Shell,diesel,2024-03-17,Fuel
Dec,Operations,15496,15907,411,Amazon,movie subscription,2024-11-20,Entertainment
Mar,Sales,9567,11486,1919,Netflix,entertainment,2027-02-27,Entertainment
Jun,Marketing,5049,4877,-172,Apple Store,online shopping,2026-07-20,Shopping
Nov,HR,12499,14896,2397,McDonald's,drinks,2023-09-30,Food & Dining
Jan,IT,17366,15709,-1657,Starbucks,drinks,2023-05-05,Food & Dining
Jan,Finance,17406,14739,-2667,Uber,travel,2024-09-14,Transportation
Nov,Finance,5077,4372,-705,Uber,ride to work,2023-10-05,Transportation
Sep,Finance,17363,20036,2673,Netflix,movie,2023-10-15,Entertainment
Feb,Marketing,14306,15638,1332,Shell,diesel,2029-02-15,Fuel
Apr,Finance,9838,7499,-2339,Amazon,online_shopping,2026-12-09,Shopping
Jun,Finance,9234,11245,2011,Netflix,monthly subscription,2024-08-19,Subscription
