Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
IT,14421,16277,1856,Apple Store,online shopping,25 January 2024,Shopping
Sales,17631,16956,-675,McDonald's,coffee purchase,26 January 2024,Food & Dining
HR,8181,6474,-1707,McDonald's,food,27 January 2024,Food & Dining
Operations,13521,13510,-11,Amazon,online shopping,28 January 2024,Shopping
HR,12862,13496,634,Netflix,entertainment,29 January 2024,Entertainment
Finance,16138,13993,-2145,Flipkart,online shopping,30 January 2024,Shopping
IT,13913,14052,139,Flipkart,online_shopping,31 January 2024,Shopping
Sales,11261,13391,2130,Netflix,movie subscription,01 February 2024,Entertainment
Finance,9678,12225,2547,Netflix,movie subscription,02 February 2024,Entertainment
Marketing,8344,7325,-1019,Flipkart,online shopping,03 February 2024,Shopping
IT,8311,11055,2744,Amazon,movie subscription,04 February 2024,Entertainment
Marketing,16900,18899,1999,Uber,travel,05 February 2024,Transportation
IT,19721,20227,506,Netflix,monthly subscription,06 February 2024,Subscription
HR,10668,8591,-2077,Apple Store,online shopping,07 February 2024,Shopping
Marketing,11197,10867,-330,Amazon,online_shopping,08 February 2024,Shopping
IT,7315,5447,-1868,Netflix,monthly subscription,09 February 2024,Subscription
HR,5348,6038,690,McDonald's,drinks,10 February 2024,Food & Dining
Finance,5371,6049,678,Flipkart,movie subscription,11 February 2024,Entertainment
HR,6445,5805,-640,McDonald's,drinks,12 February 2024,Food & Dining
Sales,15748,17325,1577,Flipkart,online shopping,13 February 2024,Shopping
Operations,15276,18007,2731,Flipkart,movie subscription,14 February 2024,Entertainment
IT,17249,18880,1631,Shell,petrol,15 February 2024,Fuel
HR,18366,18654,288,Uber,travel,16 February 2024,Transportation
Operations,16826,17734,908,Apple Store,online shopping,17 February 2024,Shopping
Operations,16255,18573,2318,Uber,ride,18 February 2024,Transportation
Sales,9508,11814,2306,Flipkart,movie subscription,19 February 2024,Entertainment
Operations,11118,9928,-1190,Shell,diesel,20 February 2024,Fuel
Operations,6491,8923,2432,Amazon,movie subscription,21 February 2024,Entertainment
Marketing,19185,18897,-288,Apple Store,app purchase,22 February 2024,Digital Services
Operations,6644,7495,851,Netflix,entertainment,23 February 2024,Entertainment
IT,14598,16353,1755,Apple Store,app purchase,24 February 2024,Digital Services
IT,15064,14272,-792,Amazon,online_shopping,25 February 2024,Shopping
Marketing,7222,6792,-430,Flipkart,movie subscription,26 February 2024,Entertainment
Finance,11696,12445,749,Amazon,online shopping,27 February 2024,Shopping
Sales,16307,18023,1716,Uber,travel,28 February 2024,Transportation
IT,14057,14967,910,Flipkart,online_shopping,29 February 2024,Shopping
Operations,6023,4215,-1808,Flipkart,online shopping,01 March 2024,Shopping
HR,11424,9516,-1908,Starbucks,coffee,02 March 2024,Food & Dining
HR,9207,11447,2240,McDonald's,coffee purchase,03 March 2024,Food & Dining
Sales,8760,11602,2842,Flipkart,online_shopping,04 March 2024,Shopping
Operations,6166,4850,-1316,Flipkart,online shopping,05 March 2024,Shopping
Operations,6922,7429,507,Amazon,online_shopping,06 March 2024,Shopping
HR,5226,3376,-1850,Starbucks,food,07 March 2024,Food & Dining
IT,18825,19300,475,McDonald's,coffee purchase,08 March 2024,Food & Dining
HR,5649,4261,-1388,Amazon,online_shopping,09 March 2024,Shopping
Finance,9980,8216,-1764,Shell,fuel purchase,10 March 2024,Fuel
Finance,13312,12655,-657,Starbucks,drinks,11 March 2024,Food & Dining
IT,10241,10055,-186,Flipkart,online shopping,12 March 2024,Shopping
IT,10760,7766,-2994,McDonald's,drinks,13 March 2024,Food & Dining
IT,16530,19118,2588,Netflix,entertainment,14 March 2024,Entertainment
HR,6523,7788,1265,Shell,petrol,15 March 2024,Fuel
Marketing,14063,15797,1734,Flipkart,online shopping,16 March 2024,Shopping
IT,12275,12828,553,Flipkart,online_shopping,17 March 2024,Shopping
Operations,8210,5460,-2750,McDonald's,drinks,18 March 2024,Food & Dining
Sales,7473,7487,14,Starbucks,food,19 March 2024,Food & Dining
Sales,18978,21033,2055,McDonald's,food,20 March 2024,Food & Dining
Finance,16012,18735,2723,Netflix,movie subscription,21 March 2024,Entertainment
IT,18728,17545,-1183,Uber,travel,22 March 2024,Transportation
Operations,6347,5825,-522,Netflix,monthly subscription,23 March 2024,Subscription
Marketing,16423,16326,-97,Netflix,entertainment,24 March 2024,Entertainment
IT,19910,22535,2625,Flipkart,online shopping,25 March 2024,Shopping
Operations,8588,5624,-2964,Flipkart,online_shopping,26 March 2024,Shopping
Marketing,15547,14552,-995,Flipkart,movie subscription,27 March 2024,Entertainment
IT,16705,14424,-2281,Uber,travel,28 March 2024,Transportation
Marketing,10089,7624,-2465,Shell,petrol,29 March 2024,Fuel
Operations,6797,8592,1795,Uber,ride to work,30 March 2024,Transportation
Sales,14107,16738,2631,Starbucks,food,31 March 2024,Food & Dining
Finance,15383,13183,-2200,Shell,fuel purchase,01 April 2024,Fuel
Finance,17841,19927,2086,Shell,fuel purchase,02 April 2024,Fuel
IT,13723,11183,-2540,Uber,travel,03 April 2024,Transportation
HR,9806,12785,2979,Flipkart,online_shopping,04 April 2024,Shopping
IT,8378,7367,-1011,Shell,petrol,05 April 2024,Fuel
Operations,6625,9279,2654,McDonald's,drinks,06 April 2024,Food & Dining
Marketing,12444,11267,-1177,Amazon,online shopping,07 April 2024,Shopping
Marketing,9852,12422,2570,Uber,ride to work,08 April 2024,Transportation
Operations,8446,9979,1533,Flipkart,online shopping,09 April 2024,Shopping
Marketing,5217,4909,-308,Flipkart,online shopping,10 April 2024,Shopping
Sales,13807,14099,292,McDonald's,drinks,11 April 2024,Food & Dining
IT,10700,13012,2312,McDonald's,food,12 April 2024,Food & Dining
Sales,18138,15518,-2620,Flipkart,movie subscription,13 April 2024,Entertainment
HR,11155,8457,-2698,Uber,travel,14 April 2024,Transportation
HR,11822,11115,-707,Shell,diesel,15 April 2024,Fuel
Operations,12888,14371,1483,Apple Store,app purchase,16 April 2024,Digital Services
Sales,18346,17942,-404,Shell,petrol,17 April 2024,Fuel
Finance,15091,14057,-1034,Flipkart,online_shopping,18 April 2024,Shopping
Sales,6396,4570,-1826,Amazon,online_shopping,19 April 2024,Shopping
IT,17355,19114,1759,Apple Store,online shopping,20 April 2024,Shopping
Marketing,12745,13360,615,Netflix,movie,21 April 2024,Entertainment
Sales,14689,14933,244,Apple Store,app purchase,22 April 2024,Digital Services
Finance,19792,20724,932,Apple Store,online shopping,23 April 2024,Shopping
Finance,12868,11548,-1320,Flipkart,online shopping,24 April 2024,Shopping
Marketing,18703,17849,-854,Netflix,monthly subscription,25 April 2024,Subscription
Sales,10501,11430,929,Amazon,movie subscription,26 April 2024,Entertainment
Finance,10803,12376,1573,Amazon,movie subscription,27 April 2024,Entertainment
IT,12445,11856,-589,Uber,ride,28 April 2024,Transportation
IT,9420,7965,-1455,Shell,fuel purchase,29 April 2024,Fuel
IT,17864,15306,-2558,Starbucks,food,30 April 2024,Food & Dining
IT,7312,9495,2183,Shell,diesel,01 May 2024,Fuel
Sales,5436,4637,-799,McDonald's,meal,02 May 2024,Food & Dining
IT,17996,19038,1042,McDonald's,food,03 May 2024,Food & Dining
Operations,8525,9482,957,Shell,diesel,04 May 2024,Fuel
Marketing,11768,9895,-1873,Starbucks,coffee,05 May 2024,Food & Dining
Marketing,19084,19748,664,McDonald's,meal,06 May 2024,Food & Dining
Marketing,10780,10949,169,Flipkart,online_shopping,07 May 2024,Shopping
Finance,17599,17400,-199,Netflix,movie subscription,08 May 2024,Entertainment
IT,15372,15041,-331,Netflix,monthly subscription,09 May 2024,Subscription
HR,11476,12494,1018,Flipkart,movie subscription,10 May 2024,Entertainment
Marketing,9796,7902,-1894,McDonald's,food,11 May 2024,Food & Dining
HR,14028,13104,-924,Flipkart,movie subscription,12 May 2024,Entertainment
Operations,15064,15781,717,Netflix,movie subscription,13 May 2024,Entertainment
Operations,14732,13539,-1193,Netflix,movie subscription,14 May 2024,Entertainment
Finance,15742,16558,816,Netflix,movie,15 May 2024,Entertainment
IT,11780,9063,-2717,Shell,petrol,16 May 2024,Fuel
Marketing,7568,7908,340,Apple Store,online shopping,17 May 2024,Shopping
IT,13760,11198,-2562,Shell,diesel,18 May 2024,Fuel
IT,8167,10148,1981,Uber,travel,19 May 2024,Transportation
Finance,15840,16301,461,Netflix,entertainment,20 May 2024,Entertainment
Finance,18673,17507,-1166,Amazon,online_shopping,21 May 2024,Shopping
Operations,16382,19135,2753,Shell,petrol,22 May 2024,Fuel
HR,6145,5420,-725,Amazon,online_shopping,23 May 2024,Shopping
Finance,16313,19176,2863,Amazon,online_shopping,24 May 2024,Shopping
Marketing,17950,16311,-1639,Flipkart,movie subscription,25 May 2024,Entertainment
Finance,9752,10066,314,Starbucks,food,26 May 2024,Food & Dining
Finance,5204,6036,832,Uber,ride to work,27 May 2024,Transportation
Sales,12929,15096,2167,Starbucks,food,28 May 2024,Food & Dining
Sales,9614,11850,2236,Netflix,movie,29 May 2024,Entertainment
Finance,9121,8089,-1032,Apple Store,online shopping,30 May 2024,Shopping
Marketing,17858,17061,-797,Netflix,movie subscription,31 May 2024,Entertainment
HR,13632,16528,2896,Amazon,online_shopping,01 June 2024,Shopping
HR,8103,8886,783,Uber,travel,02 June 2024,Transportation
Sales,17963,16116,-1847,McDonald's,food,03 June 2024,Food & Dining
Operations,10304,8512,-1792,Netflix,entertainment,04 June 2024,Entertainment
HR,9189,7902,-1287,Shell,fuel purchase,05 June 2024,Fuel
IT,18170,20225,2055,Starbucks,drinks,06 June 2024,Food & Dining
Operations,19361,16655,-2706,Uber,travel,07 June 2024,Transportation
Finance,17829,17617,-212,Netflix,movie,08 June 2024,Entertainment
Marketing,8805,6832,-1973,Netflix,movie subscription,09 June 2024,Entertainment
Finance,11920,10770,-1150,Netflix,entertainment,10 June 2024,Entertainment
IT,14467,16805,2338,Apple Store,app purchase,11 June 2024,Digital Services
HR,16745,15807,-938,Apple Store,online shopping,12 June 2024,Shopping
Marketing,8857,7962,-895,Starbucks,food,13 June 2024,Food & Dining
HR,9079,9945,866,Shell,diesel,14 June 2024,Fuel
HR,5662,5122,-540,Uber,ride to work,15 June 2024,Transportation
HR,14297,11678,-2619,Shell,fuel purchase,16 June 2024,Fuel
Finance,9485,8228,-1257,Netflix,monthly subscription,17 June 2024,Subscription
IT,13870,14416,546,Flipkart,movie subscription,18 June 2024,Entertainment
Operations,19160,19357,197,Netflix,movie subscription,19 June 2024,Entertainment
HR,15253,17865,2612,Uber,ride to work,20 June 2024,Transportation
Operations,11470,9960,-1510,Starbucks,coffee,21 June 2024,Food & Dining
Sales,15004,13619,-1385,Amazon,online_shopping,22 June 2024,Shopping
IT,15992,18429,2437,Uber,travel,23 June 2024,Transportation
Sales,13854,14328,474,Starbucks,food,24 June 2024,Food & Dining
Sales,16331,16572,241,Apple Store,app purchase,25 June 2024,Digital Services
Marketing,8165,9089,924,Netflix,movie subscription,26 June 2024,Entertainment
Sales,5123,6337,1214,Apple Store,online shopping,27 June 2024,Shopping
Operations,9571,11372,1801,Amazon,online shopping,28 June 2024,Shopping
Sales,16172,14587,-1585,Netflix,movie subscription,29 June 2024,Entertainment
HR,15173,17971,2798,Apple Store,online shopping,30 June 2024,Shopping
Marketing,12817,10532,-2285,Starbucks,food,01 July 2024,Food & Dining
HR,11974,9735,-2239,McDonald's,drinks,02 July 2024,Food & Dining
Marketing,16533,14096,-2437,Flipkart,movie subscription,03 July 2024,Entertainment
Sales,8093,9304,1211,Shell,diesel,04 July 2024,Fuel
Operations,19102,20285,1183,McDonald's,drinks,05 July 2024,Food & Dining
Finance,5853,5433,-420,Apple Store,app purchase,06 July 2024,Digital Services
Finance,6991,7414,423,Shell,petrol,07 July 2024,Fuel
IT,15882,13367,-2515,Amazon,online_shopping,08 July 2024,Shopping
Marketing,18836,16397,-2439,Uber,ride to work,09 July 2024,Transportation
Operations,10219,11316,1097,Flipkart,movie subscription,10 July 2024,Entertainment
Marketing,10557,9680,-877,Starbucks,coffee,11 July 2024,Food & Dining
Marketing,14466,16274,1808,Apple Store,app purchase,12 July 2024,Digital Services
Sales,6179,8341,2162,Uber,ride to work,13 July 2024,Transportation
Operations,6203,4014,-2189,Shell,petrol,14 July 2024,Fuel
Sales,13738,11420,-2318,Starbucks,drinks,15 July 2024,Food & Dining
HR,13607,11067,-2540,Flipkart,online shopping,16 July 2024,Shopping
Sales,13905,13752,-153,Starbucks,food,17 July 2024,Food & Dining
Marketing,9763,8341,-1422,Amazon,online shopping,18 July 2024,Shopping
IT,12019,11663,-356,Uber,ride to work,19 July 2024,Transportation
Sales,10311,10481,170,McDonald's,meal,20 July 2024,Food & Dining
Marketing,5900,4350,-1550,Apple Store,online shopping,21 July 2024,Shopping
Finance,18250,19678,1428,Starbucks,drinks,22 July 2024,Food & Dining
Finance,15158,14425,-733,Uber,ride to work,23 July 2024,Transportation
Operations,17599,18697,1098,Amazon,movie subscription,24 July 2024,Entertainment
Operations,15987,15109,-878,McDonald's,meal,25 July 2024,Food & Dining
IT,13399,14645,1246,Netflix,movie,26 July 2024,Entertainment
HR,11513,11702,189,Apple Store,online shopping,27 July 2024,Shopping
IT,13525,13114,-411,McDonald's,food,28 July 2024,Food & Dining
Finance,8978,9673,695,Uber,ride to work,29 July 2024,Transportation
Marketing,18407,19803,1396,Uber,ride to work,30 July 2024,Transportation
Marketing,9107,8784,-323,McDonald's,coffee purchase,31 July 2024,Food & Dining
Finance,7064,5183,-1881,Amazon,online shopping,01 August 2024,Shopping
Operations,12259,15191,2932,Shell,diesel,02 August 2024,Fuel
Sales,9373,12218,2845,Apple Store,online shopping,03 August 2024,Shopping
Sales,12281,9991,-2290,Flipkart,movie subscription,04 August 2024,Entertainment
Operations,12682,13350,668,Uber,travel,05 August 2024,Transportation
HR,15583,16141,558,Apple Store,app purchase,06 August 2024,Digital Services
Sales,14005,15463,1458,Starbucks,food,07 August 2024,Food & Dining
IT,11987,11146,-841,Amazon,online_shopping,08 August 2024,Shopping
Finance,13488,15620,2132,Netflix,movie subscription,09 August 2024,Entertainment
Operations,18961,19464,503,Amazon,online shopping,10 August 2024,Shopping
IT,9118,9398,280,Flipkart,movie subscription,11 August 2024,Entertainment
Finance,19237,20018,781,Shell,diesel,12 August 2024,Fuel
Sales,16484,18038,1554,Apple Store,app purchase,13 August 2024,Digital Services
Operations,13504,16026,2522,Flipkart,online shopping,14 August 2024,Shopping
Marketing,5341,3451,-1890,Apple Store,app purchase,15 August 2024,Digital Services
Marketing,15310,14180,-1130,McDonald's,food,16 August 2024,Food & Dining
Finance,18150,18150,0,McDonald's,coffee purchase,17 August 2024,Food & Dining
IT,11830,13519,1689,Uber,ride,18 August 2024,Transportation
Marketing,10387,12905,2518,Netflix,movie subscription,19 August 2024,Entertainment
IT,16469,15230,-1239,Shell,fuel purchase,20 August 2024,Fuel
HR,7456,4992,-2464,Apple Store,online shopping,21 August 2024,Shopping
HR,6382,9128,2746,Shell,petrol,22 August 2024,Fuel
Finance,6673,4823,-1850,Starbucks,coffee,23 August 2024,Food & Dining
Operations,12887,14451,1564,Uber,ride,24 August 2024,Transportation
Finance,11839,9560,-2279,Shell,petrol,25 August 2024,Fuel
Finance,9636,11045,1409,Apple Store,app purchase,26 August 2024,Digital Services
IT,13199,12736,-463,Shell,petrol,27 August 2024,Fuel
IT,14164,16642,2478,Netflix,entertainment,28 August 2024,Entertainment
IT,12879,11916,-963,McDonald's,drinks,29 August 2024,Food & Dining
Sales,11563,13125,1562,Apple Store,online shopping,30 August 2024,Shopping
Sales,6902,4041,-2861,Apple Store,online shopping,31 August 2024,Shopping
Sales,19456,22380,2924,Shell,fuel purchase,01 September 2024,Fuel
IT,12540,15125,2585,Uber,ride to work,02 September 2024,Transportation
Finance,10657,12498,1841,Amazon,online_shopping,03 September 2024,Shopping
Marketing,9049,10008,959,Uber,travel,04 September 2024,Transportation
Finance,12859,10449,-2410,Apple Store,app purchase,05 September 2024,Digital Services
HR,18680,20475,1795,Uber,travel,06 September 2024,Transportation
Marketing,12306,9873,-2433,Shell,diesel,07 September 2024,Fuel
Operations,15496,15907,411,Amazon,movie subscription,08 September 2024,Entertainment
Sales,9567,11486,1919,Netflix,entertainment,09 September 2024,Entertainment
Marketing,5049,4877,-172,Apple Store,online shopping,10 September 2024,Shopping
HR,12499,14896,2397,McDonald's,drinks,11 September 2024,Food & Dining
IT,17366,15709,-1657,Starbucks,drinks,12 September 2024,Food & Dining
Finance,17406,14739,-2667,Uber,travel,13 September 2024,Transportation
Finance,5077,4372,-705,Uber,ride to work,14 September 2024,Transportation
Finance,17363,20036,2673,Netflix,movie,15 September 2024,Entertainment
Marketing,14306,15638,1332,Shell,diesel,16 September 2024,Fuel
Finance,9838,7499,-2339,Amazon,online_shopping,17 September 2024,Shopping
Finance,9234,11245,2011,Netflix,monthly subscription,18 September 2024,Subscription
Operations,6874,4613,-2261,McDonald's,coffee purchase,19 September 2024,Food & Dining
